Study ID,Title,Country,City,Indicator,Tools,nature_type,nature_quantity,exposure_type
Rajoo 2021,Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?,Malaysia,m,Anxiety; Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",Greenspace - General* (not specified),NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Krols 2022,"Residential green space, gardening, and subjective well-being: A cross-sectional study of garden owners in northern Belgium",Beigium,Flemish Region and the Brussels Capital Region,Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Bergou 2022,The mental health benefits of visiting canals and rivers: An ecological momentary assessment study,NA,NA,Mental wellbeing in general*,Questions in Urban Mind app,NA,NA,NA
Carter 2014,Beyond Proximity: The Importance of Green Space Useability to Self-Reported Health,Australia,Perth,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Greenspace - Park,NA (or not specified),L1 - neighborhood/residential exposure
Xie 2022,Casual evaluation of the effects of a large-scale greenway intervention on physical and mental health: A natural experimental study in China,China,Wuhan,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Greenspace - Green alley/Roadside green,Other: Distance to greenspace,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Zhang 2022,Assessment of mediators in the associations between urban green spaces and self-reported health,Singapore,Singapore,Mental distress,GHQ-12,Greenspace - Forest/Tree; Greenspace - Park; Greenspace - General* (not specified),Percentage of greenspace,Other: L1 - neighborhood/residential exposure; L4 - visit frequency; L4 - duration in nature
Marques 2021,Home gardens can be more important than other urban green infrastructure for mental well-being during COVID-19 pandemics,Brazil,Rio de Janeiro,Other: mental distress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Wang 2020,AN EMPIRICAL STUDY ON THE IMPACT OF GREEN SPACES IN RESIDENTIAL AREAS ON THE MENTAL HEALTH OF RESIDENTS UNDER COVID-19,China,Hefei,Mental wellbeing in general*,K10 (Kessler Psychological Distress Scale - 10),Greenspace - General* (not specified),Other: Green View Index,Other: L1 - neighborhood/residential exposure; L3 - view of nature from window
Triguero-Mas 2015,Natural outdoor environments and mental and physical health: Relationships and mechanisms,Spain,Catalonia,Mental wellbeing in general*; Mental disorder; Psychotic disorders (include schizophrenia),Diagnosis by professionals; GHQ-12; intake of medication,Greenspace - General* (not specified); Bluespace - General* (not specified),Other: NDVI; Access to green/blue spaces,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Thompson 2016,Mitigating Stress and Supporting Health in Deprived Urban Communities: The Importance of Green Space and the Social Environment,UK,Scotland,Mental wellbeing in general*; Stress,PSS; SWEMWBS,NA,NA,NA
Astell-Burt 2019,Association of Urban Green Space With Mental Health and General Health Among Adults in Australia,Australia,Sydney; Wollongong; Newcastle,Mental distress,K10 (Kessler Psychological Distress Scale - 10),Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Feng 2022,"The nexus between urban green space, housing type, and mental health",Australia,Newcastle; Wollongong,Other: psychological distress,K10 (Kessler Psychological Distress Scale - 10),NA,NA,NA
Song 2015,Physiological and Psychological Effects of a Walk in Urban Parks in Fall,Japan,Kashiwa City,Anxiety; Depression; Mood,POMS; STAI,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Lu 2022,Effects of Environmental Features in Small Public Urban Green Spaces on Older Adults' Mental Restoration: Evidence from Tokyo,Japan,Tokyo,Restorative effects/Restorativeness,ROS (Restoration Outcome Scale),Greenspace - Park; Bluespace - General* (not specified),Street View Greenness,L1 - neighborhood/residential exposure
Wallner 2018,Reloading Pupils' Batteries: Impact of Green Spaces on Cognition and Wellbeing,Austria,Vienna,Cognitive functioning,d2-R test,NA,NA,NA
Song 2014,Physiological and psychological responses of young males during spring-time walks in urban parks,Japan,Kashiwa City,"Anxiety; Depression; Mood; Other: vigor, fatigue, confusion, anger-hostility",POMS; STAI,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Kristine 2018,Childhood exposure to green space - A novel risk-decreasing mechanism for schizophrenia?,Denmark,NA,Psychotic disorders (include schizophrenia),Diagnosis by professionals,NA,NA,NA
Brace 2020,Is a View of Green Spaces from Home Associated with a Lower Risk of Anxiety and Depression?,Spain,Carmona,Anxiety; Depression,HADS (Hospital Anxiety and Depression Scale),NA,NA,NA
vandenBerg 2016,Visiting green space is associated with mental health and vitality: A cross-sectional study in four european cities,Spain; the Netherlands; Lithuania; UK,Barcelona; Doetinchem; Kaunas; Stoke-on-Trent,Mental wellbeing in general*; Other: vitality,SF-36 (Short From Health Survey 36-item),Greenspace - General* (not specified),NA (or not specified),L4 - duration in nature
Huang 2022,"Do Emotional Perceptions of Visible Greeneries Rely on the Largeness of Green Space? A Verification in Nanchang, China",NA,NA,NA,NA,NA,NA,NA
Noordzij 2021,"Green spaces, subjective health and depressed affect in middle-aged and older adults: a cross-country comparison of four European cohorts",m,m,Depression; Other: subjective health,Mindmap project,NA,NA,NA
Maes 2021,Benefit of woodland and other natural environments for adolescents' cognition and mental health,UK,London,Mental wellbeing in general*; Cognitive functioning,EF; SDQ; KIDSCREEN-10,NA,NA,NA
Wood 2018,Not All Green Space Is Created Equal: Biodiversity Predicts Psychological Restorative Benefits From Urban Green Space,UK,Bradford,Restorative effects/Restorativeness,ART,NA,NA,NA
Reid 2022,"Perceptions of green space usage, abundance, and quality of green space were associated with better mental health during the COVID-19 pandemic among residents of Denver",United States,Denver,Anxiety; Depression; Stress,PSS-4; CES-D-10; MMPI-2 Anxiety,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
vanDinter 2022,"Urban Green Parks for Long-Term Subjective Well-Being: Empirical Relationships between Personal Characteristics, Park Characteristics, Park Use, Sense of Place, and Satisfaction with Life in The Netherlands",NA,NA,NA,NA,NA,NA,NA
McEwan 2021,Assessing the feasibility of public engagement in a smartphone app to improve well-being through nature connection (Evaluacion de la factibilidad de la implicacion ciudadana mediante una app de telefonos inteligentes para mejorar el bienestar a traves de,UK,Sheffield,Affect; Other: Recovering Quality of life,ReQoL; TPAS,NA,NA,NA
Dzhambov 2018,Residential green and blue space associated with better mental health: a pilot follow-up study in university students,Bulgaria,Plovdiv,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified); Bluespace - General* (not specified),Other: NDVI; exposure to residential blue space,L1 - neighborhood/residential exposure
Schebella 2019,The Wellbeing Benefits Associated with Perceived and Measured Biodiversity in Australian Urban Green Spaces,Australia,"Burnside, Unley, and Mitcham in South Australia",Cognitive functioning; Mood; Self-esteem; Stress,Survey Questionnaire,NA,NA,NA
Saw 2015,The Relationship between Natural Park Usage and Happiness Does Not Hold in a Tropical City-State,Singapore,Singapore,Mental wellbeing in general*; Affect; Happiness; Life satisfaction,PANAS; Satisfaction with Life Scale; Ten-Item Personality Inventory,Greenspace - Park; Greenspace - Green alley/Roadside green,NA (or not specified),Other: L4 - visit frequency; L4 - duration of visiting
Grilli 2020,"Public park attributes, park visits, and associated health status",Ireland,NA,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),Greenspace - General* (not specified),Other: visits,L4 - visit frequency
Barton 2012,"Exercise-, nature- and socially interactive-based initiatives improve mood and self-esteem in the clinical population",UK,m,Mood; Self-esteem,RSE; POMS,Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
McDougall 2021,Neighbourhood blue space and mental health: A nationwide ecological study of antidepressant medication prescribed to older adults,Scotland,m,Depression,Antidepressant prescription,NA,NA,NA
Qin 2021,"Understanding the relationship between neighbourhood green space and mental wellbeing: A case study of Beijing, China",China,Beijing,Mental wellbeing in general*,"WEMWBS 7-item (Shortened-WEMWBS, or SWEMWBS)",Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Engemann 2020,"Association Between Childhood Green Space, Genetic Liability, and the Incidence of Schizophrenia",Denmark,NA,Psychotic disorders (include schizophrenia),schizophrenia cases,NA,NA,NA
Beyer 2014,Exposure to Neighborhood Green Space and Mental Health: Evidence from the Survey of the Health of Wisconsin,United States,Wisconsin,Anxiety; Depression; Stress,"DASS (Depression, Anxiety and Stress Scale)",Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Astell-Burt 2022,Is urban green space associated with lower mental healthcare expenditure?,Australia,m,"Other: antidepressants prescribing, mental healthcare costs",Medicare Benefits Schedule (MBS) and Pharmaceutical Benefits Scheme (PBS),NA,NA,NA
Ribeiro 2021,Exposure to nature and mental health outcomes during COVID-19 lockdown. A comparison between Portugal and Spain,Spain; Portugal,m,Mental distress; Other: Somatization,GHQ-12;4DSQ,Greenspace - Park; Greenspace - Garden; Greenspace - Green alley/Roadside green; Greenspace - Green roof/wall; Greenspace - General* (not specified),"Other: frequency of exposure (visits, views, care)",Other: L1 - neighborhood/residential exposure; L3 - view of nature from window; L4 - visit frequency
Roe 2020,"The Urban Built Environment, Walking and Mental Health Outcomes Among Older Adults: A Pilot Study",United States,"Richmond, Virginia",Mental wellbeing in general*; Cognitive functioning; Mood,WEMWBS 7-item; MACL; SRT,Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Tsunetsugu 2013,Physiological and psychological effects of viewing urban forest landscapes assessed by multiple measurements,Japan,m,Mood,POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Chang 2020,"Urban-greenway factors' influence on older adults' psychological well-being: A case study of Taichung, Taiwan",China,Taiwan,Mental wellbeing in general*,PERMA,NA,NA,NA
Mavoa 2019,Natural neighbourhood environments and the emotional health of urban New Zealand adolescents,New Zealand,m,Depression; Emotional wellbeing,WHO-5; RADS-SF,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Beach/coastline,Other: NDVI; Presence of water,L1 - neighborhood/residential exposure
Ruijsbroek 2017,"Neighbourhood green space, social environment and mental health: an examination in four European cities",Spain; UK; The Netherlands; Lithuania,Barcelona; Stoke-on-Trent; Doetinchem; Kaunas,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),NA,NA,NA
Sharifi 2021,Heterogeneity in the subjective well-being impact of access to urban green space,Australia,Melbourne,Other: subjective well-being,HILDA,NA,NA,NA
McEwan 2020,The good things in urban nature: A thematic framework for optimising urban planning for nature connectedness,NA,NA,NA,NA,NA,NA,NA
Tan 2019,Designing Urban Green Spaces for Older Adults in Asian Cities,China,Hong Kong; Tainan in Taiwan province,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),NA,NA,NA
vandenBerg 2017,Does time spent on visits to green space mediate the associations between the level of residential greenness and mental health?,"Spain, Lithuania, the Netherlands, UK","Barcelona, Doetinchem, Kaunas, Stoke-on-Trent",Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Greenspace - General* (not specified),Other: Normalized Difference Vegetation Index (NDVI); time spent on visiting green space near home,Other: L1 - neighborhood/residential exposure; L4 - duration in nature
Huynh 2013,Exposure to public natural space as a protective factor for emotional well-being among young people in Canada,Canada,NA,Emotional wellbeing,CL,NA,NA,NA
Gascon 2018,Long-term exposure to residential green and blue spaces and anxiety and depression in adults: A cross-sectional study,Spain,Barcelona,Anxiety; Depression,Diagnosis by professionals,NA,NA,NA
Holt 2019,"Active and Passive Use of Green Space, Health, and Well-Being amongst University Students",United States,Greenville,Quality of life; Stress,PRS (Perceived Restorativeness Scale),Greenspace - General* (not specified),NA (or not specified),L4 - visit frequency
Lee 2023,How tree canopy cover can reduce urban suicide attempts: A geospatial analysis of the moderating role of area deprivation,United States,"Cincinnati, OH",Suicide,Emergency Medical Services,NA,NA,NA
Zewdie 2022,"The association between urban greenspace and psychological health among young adults in Addis Ababa, Ethiopia",Ethiopia,Addis Ababa,Depression; Emotional wellbeing,SDQ; PHQ-8,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),NA
Roe 2013,Green Space and Stress: Evidence from Cortisol Measures in Deprived Urban Communities,UK,Dundee,Mental wellbeing in general*; Stress,PSS; SWEMWBS,Greenspace - Garden; Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Thompson 2019,"Enhancing Health Through Access to Nature: How Effective are Interventions in Woodlands in Deprived Urban Communities? A Quasi-experimental Study in Scotland, UK",UK,Scotland,Quality of life; Stress,PSS; EQ-5D,Greenspace - Forest/Tree,NA (or not specified),L1 - neighborhood/residential exposure
Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,Malaysia,Selangor,Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress,DASS-21; POMS; PANAS; ROS,Greenspace - Forest/Tree; Greenspace - Park; Greenspace - Green alley/Roadside green,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Roberts 2021,Associations between greenspace and mental health prescription rates in urban areas,Scotland,m,Anxiety; Depression; Other: Psychosis,prescriptions,Greenspace - General* (not specified),NA,NA
Triguero-Mas 2017,Natural outdoor environments and mental health: Stress as a possible mechanism,Spain; United Kingdom; Netherlands; Lithuania,"Barcelona, Stoke-on-Trent, Doetinchem, Kaunas",Mental wellbeing in general*; Psychotic disorders (include schizophrenia); Other: vitality,SF-36; 4DSQ,Greenspace - General* (not specified),Other: Normalized Difference Vegetation Index (NDVI); Percentage of green and bluespace,Other: L1 - neighborhood/residential exposure;
Methorst 2021,Species richness is positively related to mental health - A study for Germany,Germany,m,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Greenspace - Park; Greenspace - Garden,NA (or not specified),Other: L2 - subjective accessibility; L5 - gardening (yes/no)
Asri 2021,Is green space exposure beneficial in a developing country?,Indonesia,m,Depression,NA,NA,NA,NA
Zhou 2022,Do seasons matter? Exploring the dynamic link between blue-green space and mental restoration,China,Wuhan,Restorative effects/Restorativeness,EQ-5D,NA,NA,NA
Mukherjee 2017,Park availability and major depression in individuals with chronic conditions: Is there an association in urban India?,India,Delhi,Depression,MINI,NA,NA,NA
Song 2022,The Effects of Exercise and Social Interaction in Different Natural Environments on the Mental Health of Urban Residents,China,Changsha,Affect; Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",Greenspace - Forest/Tree; Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Guo 2022,"Effects of the Combination of Audio and Visual Factors on Mental Restoration in a Large-Scale Urban Greenway: Perspectives from Wuhan, China",China,Wuhan,Mental wellbeing in general*,SRRS,NA,NA,NA
Hubbard 2021,"Are Rurality, Area Deprivation, Access to Outside Space, and Green Space Associated with Mental Health during the COVID-19 Pandemic? A Cross Sectional Study (CHARIS-E)",UK,Scotland,Other: distress,PHQ-4 (Patient Health Questionnaire-4),NA,NA,NA
Engemann 2020,Natural surroundings in childhood are associated with lower schizophrenia rates,Denmark,m,Psychotic disorders (include schizophrenia),diagnoses,NA,NA,NA
Dzhambov 2018,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,Bulgaria,Plovdiv,Mental wellbeing in general*,GHQ-12,Greenspace - Forest/Tree; Greenspace - General* (not specified),Other: NDVI; SAVI; Tree Cover Density; Distance to greenspace; Visible greenery from home; Walking time to greenspace; Time in greenspace,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility; L3 - view of nature from window; L4 - stay static in nature; L4 - duration in nature
Rugel 2019,"Exposure to natural space, sense of community belonging, and adverse mental health outcomes across an urban region",Canada,Vancouver,Mental wellbeing in general*; Mental distress; Mental disorder,WHO-CIDI; MHC-SF; K10,NA,NA,NA
Jiang 2022,Urban residential quarter green space and life satisfaction,China,Beijing,Life satisfaction,ONS,NA,NA,NA
Pasanen 2019,"Neighbourhood blue space, health and wellbeing: The mediating role of different types of physical activity",UK,England,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Beach/coastline,Other: Coastal proximity; Percentage of greenspace; Percentage of bluespace,"Other: L1 - neighborhood/residential exposure, L2 - objective accessibility"
Kabisch 2021,Physiological and psychological effects of visits to different urban green and street environments in older people: A field experiment in a dense inner-city area,Germany,Leipzig,Mood; Restorative effects/Restorativeness,POMS; ROS,Greenspace - Park,NA (or not specified),"Other: L4 - stay static in nature (e.g., sitting/meditation/forest bathing) ; L4 - physical activity in nature (e.g., walking/jogging)"
vandenBerg 2010,Green space as a buffer between stressful life events and health,Netherlands,m,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Taylor 2015,"Research note: Urban street tree density and antidepressant prescription rates A cross-sectional study in London, UK",UK,London,Depression,antidepressant prescriptions,NA,NA,NA
Liao 2020,Associations of exposure to green space with problem behaviours in preschool-aged children,China,Wuhan,"Anxiety; Depression; Other: social withdrawal,  immature behavior, somatic complaints, sex problems, splitting behavior,  aggressive behavior,  delinquent behavior, hyperactivity/inattention,  social problems,  compulsivity, cruel behavior",CBCL,NA,NA,NA
Picavet 2016,"Greener living environment healthier people? Exploring green space, physical activity and health in the Doetinchem Cohort Study",Netherlands,Doetinchem,Depression; Quality of life,RAND36; CES-D,NA,NA,NA
Liao 2019,Residential exposure to green space and early childhood neurodevelopment,China,Wuhan,"Other: mental development index, psychomotor development index",Bayley Scales of Infant Development,NA,NA,NA
Wu 2021,The influence of greenspace characteristics and building configuration on depression in the elderly,China,Beijing,Depression,GDS-15,NA,NA,NA
