id,Study ID,Title,Country,City,Indicator,Tool,nature_type,exposure_type_t1,exposure_type,study_design,Season,n_participants,male_percent_mean,gender_group,average_age_mean,age_group,Generation of randomization sequence,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting,Other sources of bias
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",PANAS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
2037,Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",China,Chengdu,Emotional wellbeing; Mood; Restorative effects/Restorativeness,PANAS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,48,31.25,Female > 60%,56,Adults,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
2186,Duan 2022,Effects of Plant Communities on Human Physiological Recovery and Emotional Reactions: A Comparative Onsite Survey and Photo Elicitation Study,China,Beijing,Affect; Stress,PANAS,Greenspace - Forest; Greenspace - Shrub/scrub; Greenspace - Grassland; Greenspace,L4 - stay static in nature,In nature - Static,Uncontrolled before-after study,Fall,320,50,Gender Balance,22,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Unclear,Unclear,Unclear
2315,Joung 2022,Quality of Life and Mental Health Benefits of Public Participation in Forest Conservation Activities in Urban Areas,South Korea,Daejeon,Affect; Emotional wellbeing; Quality of life; Restorative effects/Restorativeness; Self-esteem,PANAS,Greenspace - Forest,L5 - nature participatory activities,In nature - PA,Uncontrolled before-after study,Fall,61,57.4,Gender Balance,22.5,Young adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Unclear,Unclear
2867,Brooks 2017,Nature-related mood effects: Season and type of nature contact,Canada,Regina,Affect; Anxiety; Depression; Mood; Stress; Other: eudaimonia,PANAS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall; Winter,121,18.18,Female > 60%,21.54,Young adults,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear,Low risk of bias,Low risk of bias
2998,Saadi 2020,"There's no place like home? The psychological, physiological, and cognitive effects of short visits to outdoor urban environments compared to staying in the indoor home environment, a field experiment on women from two ethnic groups",Israel,Nazareth,Mood; Other: Working  memory,PANAS,Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall; Winter,72,0,Female > 60%,30.04,Adults,Unclear,Unclear,High risk of bias,Unclear,Unclear,Unclear,Unclear
2998,Saadi 2020,"There's no place like home? The psychological, physiological, and cognitive effects of short visits to outdoor urban environments compared to staying in the indoor home environment, a field experiment on women from two ethnic groups",Israel,Afula,Mood; Other: Working  memory,PANAS,Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall; Winter,72,0,Female > 60%,30.04,Adults,Unclear,Unclear,High risk of bias,Unclear,Unclear,Unclear,Unclear
3057,Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,Poland,Warsaw,"Affect; Depression; Mood; Restorative effects/Restorativeness; Other: Vitality, Tension, Anger, Fatigue, Confusion, Vigor",PANAS,Greenspace - Forest; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,75,NA,NA,21.5,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3115,Bratman 2015,The benefits of nature experience: Improved affect and cognition,United States,"Stanford, California",Affect; Cognitive functioning,PANAS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,60,47,Gender Balance,24.1,Young adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3154,Legrand 2022,Effects of Outdoor Walking on Positive and Negative Affect: Nature Contact Makes a Big Difference,France,Reims,Affect,PANAS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,150,69.3,Male > 60%,20.2,Young adults,Low  risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3220,Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,Poland,Swidnik,"Affect; Mood; Restorative effects/Restorativeness; Other: vitality, confusion, fatigue, anger, anxiety, vigor",PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Fall,60,51.7,Gender Balance,25,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3485,Zhang 2022,Psychophysiological Effects of a Natural Forest Environment on Chinese University Students Aged 19-25 Years,China,Zhangjiajie,Affect,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Summer,60,50,Gender Balance,22,Young adults,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Unclear
3877,Lopes 2020,Nature can get it out of your mind: The rumination reducing effects of contact with nature and the mediating role of awe and mood,Portugal,Porto,Affect; Mood; Other: rumination,PANAS,Greenspace - Garden,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,54,34,Female > 60%,25,Young adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
5868,Muro 2022,Psychological benefits of Forest Bathing during the COVID-19 pandemic: a pilot study in a Mediterranean forest close to urban areas,Spain,Barcelona,Affect; Anxiety; Mood; Other: State Mindfulness,PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,16,12.5,Female > 60%,47.5,Adults,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
6274,Bielinis 2018,The effect of winter forest bathing on psychological relaxation of young Polish adults,Poland,Olsztyn,Affect; Mood; Restorative effects/Restorativeness; Other: vitality,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,62,58,Gender Balance,21.45,Young adults,Unclear,Unclear,High risk of bias,Unclear,Low risk of bias,Unclear,Unclear
6666,Bielinis 2019,The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,Poland,Olsztyn,"Mental distress; Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: anger/hostility, vigor, fatigue, confusion, vitality",PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring,21,57,Gender Balance,23.86,Young adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6750,Bielinis 2019,The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,Poland,Olsztyn,Mental distress; Mood; Restorative effects/Restorativeness,PANAS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,32,0,Female > 60%,20.97,Young adults,Unclear,Unclear,Low risk of bias,High risk of bias,Low risk of bias,Unclear,High risk of bias
7049,Takayama 2019,"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings",Japan,NA,"Mental distress; Affect; Anxiety; Depression; Restorative effects/Restorativeness; Other: Subjective Vitality, anger-hostility, vigor, fatigue, confusion",PANAS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer; Fall,46,100,Male > 60%,21.4,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
74,Kanelli 2021,Engaging the Senses: The Association of Urban Green Space with General Health and Well-Being in Urban Residents,Greece,Athens,Mood,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,Fall,24,41.7,Gender Balance,34.9,Adults,High risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
151,Mokhtar 2018,Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,Malaysia,Kuala Lumpur,Affect; Mood; Restorative effects/Restorativeness,POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,NA,20,100,Male > 60%,23.1,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Low risk of bias,High risk of bias,Unclear
240,Song 2015,Physiological and Psychological Effects of a Walk in Urban Parks in Fall,Japan,Kashiwa City,Anxiety; Depression; Mood,POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,23,100,Male > 60%,22.3,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
261,Song 2014,Physiological and psychological responses of young males during spring-time walks in urban parks,Japan,Kashiwa City,"Anxiety; Depression; Mood; Other: vigor, fatigue, confusion, anger-hostility",POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,17,100,Male > 60%,21.2,Young adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
343,Barton 2012,"Exercise-, nature- and socially interactive-based initiatives improve mood and self-esteem in the clinical population",UK,NA,Mood; Self-esteem,POMS,Greenspace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Summer,53,38,Female > 60%,53,Adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,High risk of bias,Low risk of bias,Low risk of bias
393,Tsunetsugu 2013,Physiological and psychological effects of viewing urban forest landscapes assessed by multiple measurements,Japan,NA,Mood,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Quasi-experimental study,NA,48,100,Male > 60%,21.1,Young adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
472,Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,Malaysia,Selangor,Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress,POMS,Greenspace - Forest; Greenspace - Park; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,80,30,Female > 60%,33.68,Adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
512,Kabisch 2021,Physiological and psychological effects of visits to different urban green and street environments in older people: A field experiment in a dense inner-city area,Germany,Leipzig,Mood; Restorative effects/Restorativeness,POMS,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Summer,33,36.36,Female > 60%,63.5,Adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
512,Kabisch 2021,Physiological and psychological effects of visits to different urban green and street environments in older people: A field experiment in a dense inner-city area,Germany,Leipzig,Mood; Restorative effects/Restorativeness,POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer,33,36.36,Female > 60%,63.5,Adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
608,Xiang 2022,"Verification of Psychophysiological Effects of Satoyama Activities on Older Adult Volunteers and Young People in Post-COVID-19 Society: A Case Study of Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility, vigor-activity",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Spring,24,54.15,Gender Balance,48.7,Adults,High risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
615,Song 2013,Physiological and psychological effects of walking on young males in urban parks in winter,Japan,Chiba,"Anxiety; Depression; Mood; Other: anger-hostility, vigor, fatigue, confusion",POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,13,100,Male > 60%,22.5,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias
794,Wu 2022,An Empirical Study of the Restoration Potential of Urban Deciduous Forest Space to Youth,China,Chengdu,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Self-esteem; Other: anger-hostility, vitality, fatigue, confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21.8,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
854,Elsadek 2020,Window view and relaxation: Viewing green space from a high-rise estate improves urban dwellers' wellbeing,China,Shanghai,Emotional wellbeing; Mood,POMS,Greenspace - Park,L3 - view of nature from window,Viewing,Randomised controlled trial - parallel,Summer,30,0,Female > 60%,29.6,Adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Scotland,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Wales,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Northern Ireland,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,England,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
2037,Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",China,Chengdu,Emotional wellbeing; Mood; Restorative effects/Restorativeness,POMS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,48,31.25,Female > 60%,56,Adults,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
2345,Elsadek 2019,Green facades: Their contribution to stress recovery and well-being in high-density cities,China,Shanghai,"Anxiety; Depression; Emotional wellbeing; Other: anger-hostility, fatigue, confusion, vigor, TMD",POMS,Greenspace - Green roof/wall,L4 - stay static in nature,In nature - Static,Non-randomised experimental study,Winter,25,0,Female > 60%,23,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Chengdu,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Ya'an,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Yibin,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Dujiangyan,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Chengdu,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Ya'an,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
